"idProposicao";"uriProposicao";"idDeputadoAutor";"uriAutor";"codTipoAutor";"tipoAutor";"nomeAutor";"siglaPartidoAutor";"uriPartidoAutor";"siglaUFAutor";"ordemAssinatura";"proponente"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"73428";"https://dadosabertos.camara.leg.br/api/v2/deputados/73428";"10000";"Deputado";"Aldo Rebelo";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"SP";"2";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74076";"https://dadosabertos.camara.leg.br/api/v2/deputados/74076";"10000";"Deputado";"Gerson Peres";"";"";"";"8";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74559";"https://dadosabertos.camara.leg.br/api/v2/deputados/74559";"10000";"Deputado";"João Caldas";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"AL";"10";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"73540";"https://dadosabertos.camara.leg.br/api/v2/deputados/73540";"10000";"Deputado";"José Genoíno";"";"";"";"12";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74095";"https://dadosabertos.camara.leg.br/api/v2/deputados/74095";"10000";"Deputado";"Pauderney Avelino";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790";"AM";"1";"1"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74570";"https://dadosabertos.camara.leg.br/api/v2/deputados/74570";"10000";"Deputado";"Jutahy Junior";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"BA";"13";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"73434";"https://dadosabertos.camara.leg.br/api/v2/deputados/73434";"10000";"Deputado";"Arnaldo Faria de Sá";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"SP";"3";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74553";"https://dadosabertos.camara.leg.br/api/v2/deputados/74553";"10000";"Deputado";"José Carlos Aleluia";"PFL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36790";"BA";"11";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74862";"https://dadosabertos.camara.leg.br/api/v2/deputados/74862";"10000";"Deputado";"Miro Teixeira";"";"";"";"16";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"73793";"https://dadosabertos.camara.leg.br/api/v2/deputados/73793";"10000";"Deputado";"Edinho Bez";"";"";"";"5";"0"
"13610";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13610";"74784";"https://dadosabertos.camara.leg.br/api/v2/deputados/74784";"10000";"Deputado";"Luiza Erundina";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"SP";"15";"0"
"13609";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13609";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2002";"2";"COMISSÃO PERMANENTE";"Comissão de Ciência e Tecnologia, Comunicação e Informática";"";"";"";"1";"1"
"13608";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13608";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2002";"2";"COMISSÃO PERMANENTE";"Comissão de Ciência e Tecnologia, Comunicação e Informática";"";"";"";"1";"1"
"13607";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13607";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2002";"2";"COMISSÃO PERMANENTE";"Comissão de Ciência e Tecnologia, Comunicação e Informática";"";"";"";"1";"1"
"13605";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13605";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"2";"COMISSÃO PERMANENTE";"Comissão de Constituição e Justiça e de Redação";"";"";"";"1";"1"
"13604";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13604";"";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2002";"2";"COMISSÃO PERMANENTE";"Comissão de Ciência e Tecnologia, Comunicação e Informática";"";"";"";"1";"1"
